"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,What is the multiplicity of the zero x = 4 in f(x) = (x − 4)²(x + 1)?,1,2,3,4,15,2,,,,,,,,,,,,,,,,,,
2,What is the multiplicity of x = 0 in g(x) = x³(x − 5)?,1,2,3,5,15,3,,,,,,,,,,,,,,,,,,
3,What is the multiplicity of x = −2 in h(x) = (x + 2)⁴(x − 1)²?,1,2,3,4,15,4,,,,,,,,,,,,,,,,,,
4,"In p(x) = (x − 7)(x + 3)², what is the multiplicity of x = 7?",1,2,3,0,15,1,,,,,,,,,,,,,,,,,,
5,"In f(x) = (x − 1)⁵, what is the multiplicity of x = 1?",1,2,3,5,15,4,,,,,,,,,,,,,,,,,,
6,"If a zero has EVEN multiplicity, what does the graph do at that zero?",Crosses the x-axis,Touches and turns,Disappears,Becomes vertical,15,2,,,,,,,,,,,,,,,,,,
7,"If a zero has ODD multiplicity, what does the graph do at that zero?",Crosses the x-axis,Touches and bounces off,Stops at the x-axis,Runs parallel to the x-axis,15,1,,,,,,,,,,,,,,,,,,
8,Multiplicity 2 → graph ___ at the zero.,Crosses cleanly,Touches and turns,Flattens and crosses,Vanishes,15,2,,,,,,,,,,,,,,,,,,
9,f(x) has a zero at x = 2 with multiplicity 3. What does the graph do at x = 2?,Crosses the x-axis,Touches and turns,Doesn't intersect the x-axis,Stops at the x-axis,15,1,,,,,,,,,,,,,,,,,,
10,g(x) has a zero at x = −1 with multiplicity 4. What does the graph do at x = −1?,Touches and turns,Crosses the x-axis,Crosses with a curve,Has a vertical asymptote,15,1,,,,,,,,,,,,,,,,,,
11,"For f(x) = (x − 2)³(x + 1), what happens at x = 2?",Crosses the x-axis (mult 3),Touches and turns (mult 2),Crosses cleanly (mult 1),Nothing,15,1,,,,,,,,,,,,,,,,,,
12,"For f(x) = (x − 2)³(x + 1), what happens at x = −1?",Crosses the x-axis (multiplicity 1),Tangent to the x-axis / turning point (multiplicity 2),Crosses the x-axis (multiplicity 3),Nothing,15,1,,,,,,,,,,,,,,,,,,
13,"For g(x) = x²(x − 4)³, what happens at x = 0?",Cross,Touch,Flatten-through cross,Asymptote,15,2,,,,,,,,,,,,,,,,,,
14,"For g(x) = x²(x − 4)³, what happens at x = 4?",Crosses the x-axis (odd multiplicity),Touches and turns,Doesn't intersect,Vertical asymptote,15,1,,,,,,,,,,,,,,,,,,
15,A graph TOUCHES the x-axis at x = 5 and turns around. The multiplicity at x = 5 must be…,Odd,Even,Zero,Negative,15,2,,,,,,,,,,,,,,,,,,
16,At x = −3 the graph of a polynomial crosses the x-axis like a straight line (no visible curvature at the zero).  The multiplicity at x = −3 is most likely…,1,2,3,4,15,1,,,,,,,,,,,,,,,,,,
17,How many DISTINCT zeros does f(x) = (x − 2)²(x + 5)³ have?,1,2,3,5,15,2,,,,,,,,,,,,,,,,,,
18,What is the degree of f(x) = (x − 2)²(x + 5)³?,2,3,5,6,15,3,,,,,,,,,,,,,,,,,,
19,Which polynomial TOUCHES the x-axis at x = 4?,f(x) = (x − 4)(x + 1),f(x) = (x − 4)²(x + 1),f(x) = (x − 4)³(x + 1),f(x) = (x + 4)²(x − 1),15,2,,,,,,,,,,,,,,,,,,
20,Which polynomial CROSSES the x-axis at x = 0 (rather than touching)?,f(x) = x(x − 2),f(x) = x²(x − 2),f(x) = (x − 2),f(x) = x²(x + 2)²,15,1,,,,,,,,,,,,,,,,,,
21,Recall from Day 2: what are the zeros of f(x) = (x + 3)(x − 5)?,3 and −5,−3 and 5,−3 and −5,3 and 5,15,2,,,,,,,,,,,,,,,,,,
22,Recall from Day 2: zeros at x = 2 and x = −4 create how many intervals on the number line?,2,3,4,5,15,2,,,,,,,,,,,,,,,,,,
23,"Before sketching the graph of a polynomial function in standard form, what should you do FIRST?",Factor the function to find the zeros,Plug in x = 0,Find the y-intercept,Take the derivative,15,1,,,,,,,,,,,,,,,,,,
24,"If x = 5 is a zero of f(x), then which of the following is a factor of f(x)?",(x − 5),(x + 5),(5x),(x − 1/5),15,1,,,,,,,,,,,,,,,,,,
25,"How many zeros (counting real AND complex, with multiplicity) does a degree-4 polynomial have in total?",4,2,"Up to 4, but could be fewer",It depends on the leading coefficient,15,1,,,,,,,,,,,,,,,,,,
26,How is the Zero Product Property useful when graphing a polynomial in factored form?,It identifies the x-values where the graph crosses or touches the x-axis,It tells you the y-intercept,It gives you the leading coefficient,It tells you the end behavior,15,1,,,,,,,,,,,,,,,,,,
27,"After you find the zeros and sketch a polynomial graph by hand, how can you CHECK that your sketch is correct?",Use a graphing calculator (or Desmos) to graph the function,Plug in the leading coefficient,Add the multiplicities,Take the derivative,15,1,,,,,,,,,,,,,,,,,,
